epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.5033000463476548,0.613308545259329,1e-04,0.7884887456893921,0.490202896296978
1,0.9095643722094022,0.3596568676141592,1e-04,0.8822916783392429,0.33458902314305305
2,0.9489297981445606,0.17962501507539017,1e-04,0.918198648840189,0.21764953434467316
3,0.9597321657034067,0.11919068235617418,1e-04,0.9440406002104282,0.15223396569490433
4,0.968584358233672,0.08834245525873624,1e-04,0.9579309076070786,0.1161612756550312
5,0.9738657896335309,0.07087056636810303,1e-04,0.967383548617363,0.09317870065569878
6,0.9771562319535475,0.06005288683451139,1e-04,0.9755821637809277,0.0748787634074688
7,0.9806910601946024,0.0502214633501493,1e-04,0.9791178032755852,0.061533767729997635
8,0.9826818745869856,0.0443300201342656,1e-04,0.9796503372490406,0.05998969078063965
9,0.9841866332751054,0.04019547425783598,1e-04,0.9811960272490978,0.05454237386584282
10,0.9854129259402935,0.036806632463748636,1e-04,0.9816212877631187,0.052553143352270126
11,0.9863917314089261,0.03398347313587482,1e-04,0.9834141433238983,0.04734082520008087
12,0.9869579067597023,0.03222471475601196,1e-04,0.9831768870353699,0.04747767001390457
13,0.987006924702571,0.031587020250467154,1e-04,0.9826197996735573,0.04749520123004913
14,0.9879078869636242,0.02911364619548504,1e-04,0.9843947552144527,0.04127761721611023
15,0.9887535008100363,0.026734373661187978,1e-04,0.9858315326273441,0.03800591826438904
16,0.989330158325342,0.025248675162975603,1e-04,0.987977460026741,0.03217461332678795
17,0.9896634202737075,0.024331686129936806,1e-04,0.9882731214165688,0.031786467880010605
18,0.9899401664733887,0.02351523912869967,1e-04,0.9886417649686337,0.030627112835645676
19,0.990498831638923,0.022138682237038246,1e-04,0.9885026775300503,0.030377879738807678
20,0.9902658256200644,0.02284326874292814,1e-04,0.9875554889440536,0.03332133963704109
21,0.9898881898476527,0.023682255011338454,1e-04,0.9876564666628838,0.033542223274707794
22,0.9899851519327897,0.023521308257029607,1e-04,0.9882050417363644,0.0313689187169075
23,0.9904713983719166,0.02205076997096722,1e-04,0.9877363368868828,0.032201897352933884
24,0.9904724107338831,0.021759906640419595,1e-04,0.9879325032234192,0.03120829537510872
25,0.9909773918298574,0.020582105563237117,5e-05,0.9898843728005886,0.02582038938999176
26,0.9924122292261858,0.01706395882826585,5e-05,0.9907325580716133,0.023910269141197205
27,0.992955015714352,0.01584691863793593,5e-05,0.9910385832190514,0.023346208035945892
28,0.9932658397234403,0.015177955077244685,5e-05,0.9910088591277599,0.023173052817583084
29,0.9934112681792333,0.0148729526079618,5e-05,0.9912405014038086,0.02265208587050438
30,0.9936352849006653,0.014285931678918692,5e-05,0.990882121026516,0.02374747395515442
31,0.9938291407548464,0.01386553690983699,5e-05,0.9913089014589787,0.022626884281635284
32,0.9939365304433383,0.01364915187542255,5e-05,0.990438774228096,0.025056570768356323
33,0.9940137808139508,0.013450997609358568,5e-05,0.9905958510935307,0.024548888206481934
34,0.9940423594071315,0.013364682289270255,5e-05,0.990738533437252,0.02475139871239662
35,0.9936869116929862,0.01418715027662424,2.5e-05,0.9915594011545181,0.021640095859766006
36,0.9940919555150546,0.013312420478233925,2.5e-05,0.9918927662074566,0.020697440952062607
37,0.9943233558764825,0.012683603855279776,2.5e-05,0.9916574209928513,0.021109774708747864
38,0.9943486034870148,0.01250756337092473,2.5e-05,0.991561695933342,0.021394822746515274
39,0.9943544401572301,0.012526955971351037,2.5e-05,0.9925519190728664,0.01902294158935547
40,0.9944418719181648,0.01229621538749108,2.5e-05,0.9927141889929771,0.01882202923297882
41,0.9945710186774914,0.011969075294641349,2.5e-05,0.9929983727633953,0.018107857555150986
42,0.9946050804394942,0.011874413031798143,2.5e-05,0.9925632067024708,0.019067414104938507
43,0.9946608098653646,0.01176981100669274,2.5e-05,0.9926911294460297,0.01869168132543564
44,0.9947858576591199,0.011501800096951998,2.5e-05,0.9927849657833576,0.018484249711036682
